iter	Passed	Remaining
0	37	37721
1	77	38685
2	113	37596
3	135	33725
4	169	33685
5	201	33320
6	233	33153
7	268	33313
8	305	33595
9	336	33306
10	370	33271
11	405	33355
12	444	33710
13	481	33905
14	512	33669
15	545	33558
16	566	32736
17	598	32626
18	630	32543
19	671	32907
20	712	33223
21	747	33235
22	775	32924
23	809	32926
24	847	33042
25	890	33370
26	938	33805
27	1009	35055
28	1071	35864
29	1107	35819
30	1140	35662
31	1175	35569
32	1211	35497
33	1243	35332
34	1280	35315
35	1321	35378
36	1359	35382
37	1399	35421
38	1438	35445
39	1471	35306
40	1504	35199
41	1535	35034
42	1566	34859
43	1599	34744
44	1628	34565
45	1659	34418
46	1690	34273
47	1725	34213
48	1759	34147
49	1786	33940
50	1820	33873
51	1852	33776
52	1883	33661
53	1915	33548
54	1946	33447
55	1978	33354
56	1993	32985
57	2025	32892
58	2057	32818
59	2091	32760
60	2125	32719
61	2160	32688
62	2194	32638
63	2237	32721
64	2269	32646
65	2301	32574
66	2334	32504
67	2365	32425
68	2398	32368
69	2432	32311
70	2464	32252
71	2495	32162
72	2525	32064
73	2556	31988
74	2588	31924
75	2626	31935
76	2656	31846
77	2689	31785
78	2719	31706
79	2749	31619
80	2783	31577
81	2817	31542
82	2848	31468
83	2881	31420
84	2911	31344
85	2940	31255
86	2970	31174
87	3004	31138
88	3035	31069
89	3066	31005
90	3098	30947
91	3130	30892
92	3162	30838
93	3192	30774
94	3223	30710
95	3253	30639
96	3284	30574
97	3316	30524
98	3348	30470
99	3379	30415
100	3415	30401
101	3426	30168
102	3457	30114
103	3490	30068
104	3521	30019
105	3552	29962
106	3582	29898
107	3612	29837
108	3644	29795
109	3676	29745
110	3706	29683
111	3727	29550
112	3757	29492
113	3788	29442
114	3819	29395
115	3855	29384
116	3886	29330
117	3901	29158
118	3932	29116
119	3964	29069
120	3996	29032
121	4007	28839
122	4038	28795
123	4070	28758
124	4101	28707
125	4131	28657
126	4158	28587
127	4189	28542
128	4221	28500
129	4251	28450
130	4282	28406
131	4292	28227
132	4325	28194
133	4363	28198
134	4396	28167
135	4426	28123
136	4457	28081
137	4490	28048
138	4521	28009
139	4553	27971
140	4573	27864
141	4605	27829
142	4637	27791
143	4668	27753
144	4698	27707
145	4729	27661
146	4760	27621
147	4792	27589
148	4825	27557
149	4854	27510
150	4874	27409
151	4905	27369
152	4950	27406
153	4983	27374
154	5003	27278
155	5034	27237
156	5065	27200
157	5097	27162
158	5128	27126
159	5160	27093
160	5190	27047
161	5222	27017
162	5254	26979
163	5280	26916
164	5313	26888
165	5344	26850
166	5375	26811
167	5412	26806
168	5444	26770
169	5475	26731
170	5506	26697
171	5523	26589
172	5554	26553
173	5585	26517
174	5617	26482
175	5650	26452
176	5681	26417
177	5714	26388
178	5745	26351
179	5775	26312
180	5809	26288
181	5841	26253
182	5871	26214
183	5901	26171
184	5928	26117
185	5960	26083
186	5991	26048
187	6022	26011
188	6054	25978
189	6069	25877
190	6100	25837
191	6131	25804
192	6169	25796
193	6200	25760
194	6231	25723
195	6263	25691
196	6294	25656
197	6326	25624
198	6356	25585
199	6389	25556
200	6418	25512
201	6448	25475
202	6481	25446
203	6512	25411
204	6543	25375
205	6575	25342
206	6606	25309
207	6639	25279
208	6671	25247
209	6702	25213
210	6733	25178
211	6765	25149
212	6799	25122
213	6829	25085
214	6874	25098
215	6905	25063
216	6943	25053
217	6975	25021
218	7007	24990
219	7038	24955
220	7070	24921
221	7101	24888
222	7135	24861
223	7166	24825
224	7197	24791
225	7227	24754
226	7258	24716
227	7289	24680
228	7322	24651
229	7352	24615
230	7384	24583
231	7417	24555
232	7448	24519
233	7480	24488
234	7511	24450
235	7543	24419
236	7573	24383
237	7618	24391
238	7650	24358
239	7681	24323
240	7711	24286
241	7743	24255
242	7774	24218
243	7807	24190
244	7839	24157
245	7868	24118
246	7900	24084
247	7932	24054
248	7965	24023
249	7995	23987
250	8026	23951
251	8058	23919
252	8089	23885
253	8122	23856
254	8152	23818
255	8183	23783
256	8215	23752
257	8246	23717
258	8278	23685
259	8310	23652
260	8341	23619
261	8373	23587
262	8404	23550
263	8436	23518
264	8468	23486
265	8500	23455
266	8530	23419
267	8561	23385
268	8594	23355
269	8625	23321
270	8656	23286
271	8687	23251
272	8718	23218
273	8750	23185
274	8782	23154
275	8813	23118
276	8844	23084
277	8875	23050
278	8906	23017
279	8938	22984
280	8972	22957
281	9003	22924
282	9034	22890
283	9065	22854
284	9096	22820
285	9128	22790
286	9158	22753
287	9188	22717
288	9220	22684
289	9250	22646
290	9282	22616
291	9313	22583
292	9345	22551
293	9376	22515
294	9407	22481
295	9437	22446
296	9467	22410
297	9498	22376
298	9529	22342
299	9561	22309
300	9593	22277
301	9625	22247
302	9656	22214
303	9703	22214
304	9735	22183
305	9766	22150
306	9797	22116
307	9830	22086
308	9861	22052
309	9891	22017
310	9923	21985
311	9955	21954
312	9986	21919
313	10016	21883
314	10047	21848
315	10077	21813
316	10110	21784
317	10142	21751
318	10172	21716
319	10204	21683
320	10234	21648
321	10266	21616
322	10297	21582
323	10327	21547
324	10374	21546
325	10404	21511
326	10436	21479
327	10468	21447
328	10498	21412
329	10529	21378
330	10559	21342
331	10592	21312
332	10623	21278
333	10654	21245
334	10684	21209
335	10715	21176
336	10748	21145
337	10780	21114
338	10809	21077
339	10840	21042
340	10870	21008
341	10901	20973
342	10933	20942
343	10965	20910
344	10996	20878
345	11026	20841
346	11057	20807
347	11088	20774
348	11118	20739
349	11150	20707
350	11181	20675
351	11212	20641
352	11244	20608
353	11275	20575
354	11305	20541
355	11337	20510
356	11382	20501
357	11416	20473
358	11446	20438
359	11476	20402
360	11506	20366
361	11539	20336
362	11570	20303
363	11600	20269
364	11631	20236
365	11662	20202
366	11692	20166
367	11722	20131
368	11754	20100
369	11784	20065
370	11814	20031
371	11846	19999
372	11877	19965
373	11909	19934
374	11941	19903
375	11972	19869
376	12002	19833
377	12033	19800
378	12064	19767
379	12095	19734
380	12130	19707
381	12161	19675
382	12192	19641
383	12223	19608
384	12254	19574
385	12285	19542
386	12315	19507
387	12348	19477
388	12379	19444
389	12410	19411
390	12442	19379
391	12473	19346
392	12502	19311
393	12532	19275
394	12565	19246
395	12595	19211
396	12626	19178
397	12657	19145
398	12688	19112
399	12721	19082
400	12754	19052
401	12785	19019
402	12814	18983
403	12844	18949
404	12876	18917
405	12907	18884
406	12937	18849
407	12968	18817
408	12998	18783
409	13030	18751
410	13062	18720
411	13110	18711
412	13142	18680
413	13174	18647
414	13206	18616
415	13238	18584
416	13269	18551
417	13299	18516
418	13335	18491
419	13366	18458
420	13413	18447
421	13443	18413
422	13473	18378
423	13505	18346
424	13535	18313
425	13569	18284
426	13600	18250
427	13631	18218
428	13661	18183
429	13707	18169
430	13739	18139
431	13769	18104
432	13801	18072
433	13832	18039
434	13863	18006
435	13894	17973
436	13925	17940
437	13957	17908
438	13987	17874
439	14017	17840
440	14048	17807
441	14079	17774
